word,ham,spam
!,852,545
#,281,6
$,19,4
%,7,3
&,744,178
',37,7
'',122,11
''OK,5,0
'An,1,0
'Comfort,1,0
'HEART,1,0
'IF,1,0
'Luxury,1,0
'MARRIED,1,0
'Maangalyam,2,0
'Melle,3,0
'Need,1,0
'RE,1,0
'S,1,4
'SIMPLE,2,0
'That,1,0
'Uptown,0,1
'VE,0,1
'Wnevr,1,0
'anything,1,0
'd,25,2
'doctors,1,0
'help,0,4
'hex,1,0
'hw,2,0
'its,1,0
'll,229,3
'm,387,8
're,86,3
'rencontre,1,0
's,423,68
'taxless,1,0
'terrorist,2,0
'til,3,0
've,81,9
'xam,1,0
(,65,54
),433,66
*,196,115
+,11,18
+123,0,2
+447797706009,0,2
+449071512431,0,1
+CHEER,1,0
+GET,1,0
+std,0,2
+£400,0,1
",",1560,378
",s",1,0
-,177,56
--,9,0
-/,1,0
-4,0,1
-D,5,0
-DB-,1,0
-Message,0,2
-NO,1,0
-P,4,0
-PLS,0,1
-Shakespeare-,1,0
-The,1,0
-VIVEKANAND-,1,0
-apples,1,0
-call,0,1
-msg,0,1
-sub,0,2
-tho,1,0
-u,1,0
-via,1,0
-xx,1,0
-|,1,0
.,3915,1018
..,685,12
...,1139,7
....,55,1
.....,12,2
......,2,0
........,2,0
.........,2,0
..........,2,0
...........,3,0
...............,1,0
................,1,0
..................,1,0
.Call,1,0
.Gud,2,0
.Please,1,0
.Terry,1,0
.a,1,0
.after,1,0
.be,2,0
.by,1,0
.dont,1,0
.irritating,1,0
.joker,1,0
.lovable,1,0
.nt,1,0
.so,1,0
.very,2,0
/,9,1
/-,1,0
//WWW.URAWINNER.COM,0,1
//alto18.co.uk/wave/wave.asp,0,1
//careers,0,2
//doit,0,1
//gotbabes.co.uk,0,1
//img,0,1
//tms,0,1
//wap,0,1
//www.bubbletext.com,0,1
//www.e-tlp.co.uk/expressoffer,0,2
//www.e-tlp.co.uk/reward,0,1
//www.urawinner.com,0,5
//www.vouch4me.com/etlp/dining.asp,0,1
//www.wtlp.co.uk/text,0,1
/7,2,0
/colour,0,1
/oz,1,0
0,0,3
008704050406,0,2
0089,0,1
0121,0,1
01223585236,0,1
01223585334,0,2
0125698789,1,0
02,0,1
02/06/03,0,4
02/09/03,0,2
0207,0,2
0207-083-6089,0,1
02072069400,0,1
02073162414,0,2
02085076972,0,1
021,0,2
050703,0,2
0578,0,2
06,0,1
06.05.05,0,1
06/11/04,0,1
07/11/04,0,2
07008009200,0,1
07046744435,0,1
07090201529,0,1
07090298926,0,1
07099833605,0,1
07123456789,0,2
0721072,0,1
07732584351,0,1
07734396839,0,2
07742676969,0,2
07753741225,0,1
0776xxxxxxx,0,2
07786200117,0,2
077xxx,0,1
078,0,1
07801543489,0,1
07808,0,1
07808247860,0,1
07808726822,0,1
07815296484,0,1
07821230901,0,2
078498,0,1
0789xxxxxxx,0,1
07946746291/07880867867,0,1
0796XXXXXX,0,1
07973788240,0,1
07XXXXXXXXX,0,1
07xxxxxxxxx,0,2
0800,0,13
08000407165,0,2
08000776320,0,2
08000839402,0,15
08000930705,0,16
08000938767,0,3
08001950382,0,4
08002888812,0,2
08002986030,0,2
08002986906,0,4
08002988890,0,1
08006344447,0,2
0808,0,4
08081263000,0,1
08081560665,0,2
0825,0,2
0844,0,2
08448350055,0,1
08448714184,0,1
0845,0,3
08450542832,0,1
08452810071,0,1
08452810073,0,3
08452810075over18,0,2
0870,0,8
08700621170150p,0,2
08701213186,0,1
08701237397,0,1
08701417012,0,3
08701417012150p,0,2
0870141701216+,0,1
087016248,0,1
08701752560,0,1
087018728737,0,1
0870241182716,0,2
08702490080,0,1
08702840625,0,1
08702840625.COMUK,0,3
08704439680,0,1
08704439680Ts,0,1
08706091795,0,2
0870737910216yrs,0,1
08707500020,0,1
08707509020,0,6
0870753331018+,0,1
08707808226,0,1
08708034412,0,2
08708800282,0,1
08709222922,0,2
08709501522,0,1
0871-4719-523,0,1
0871-872-9755,0,1
0871-872-9758,0,1
087104711148,0,1
08712101358,0,2
08712103738,0,1
0871212025016,0,1
08712300220,0,6
087123002209am-7pm,0,1
08712317606,0,2
08712400200,0,1
08712400603,0,1
08712402050,0,2
08712402578,0,1
08712402779,0,1
08712402902,0,1
08712402972,0,1
08712404000,0,1
08712405020,0,4
08712405022,0,2
08712460324,0,8
08712466669,0,1
0871277810710p/min,0,1
0871277810810,0,2
0871277810910p/min,0,1
08714342399.2stop,0,1
087147123779am-7pm,0,1
08714712379,0,1
08714712388,0,1
08714712394,0,1
08714712412,0,1
08714714011,0,1
08715203028,0,1
08715203649,0,1
08715203652,0,1
08715203656,0,1
08715203677,0,1
08715203685,0,1
08715203694,0,1
08715205273,0,1
08715500022,0,1
08715705022,0,4
08717111821,0,1
08717168528,0,1
08717205546,0,1
0871750.77.11,0,2
08717507382,0,1
08717509990,0,1
08717890890£1.50,0,1
08717895698,0,1
08717898035,0,3
08718711108,0,1
08718720201,0,5
08718723815,0,1
08718725756,0,1
08718726270,0,2
087187262701.50gbp/mtmsg18,0,3
08718726970,0,1
08718726971,0,1
08718726978,0,1
087187272008,0,1
08718727868,0,2
08718727870,0,2
08718730555,0,1
08718730666,0,2
08718738001,0,2
08718738002,0,1
08718738034,0,1
08719180219,0,1
08719180248,0,2
08719181259,0,1
08719181503,0,1
08719181513,0,2
08719839835,0,1
08719899217,0,1
08719899229,0,1
08719899230,0,1
09041940223,0,1
09050000301,0,1
09050000332,0,1
09050000460,0,1
09050000555,0,1
09050000878,0,1
09050000928,0,1
09050001295,0,1
09050001808,0,2
09050002311,0,2
09050003091,0,2
09050005321,0,1
09050090044,0,6
09050280520,0,1
09053750005,0,1
09056242159,0,2
09057039994,0,1
09058091854,0,2
09058091870,0,1
09058094454,0,1
09058094455,0,1
09058094507,0,1
09058094565,0,2
09058094583,0,1
09058094594,0,1
09058094597,0,2
09058094599,0,2
09058095107,0,1
09058095201,0,1
09058097189,0,1
09058097218,0,1
09058098002,0,1
09058099801,0,2
09061104276,0,1
09061104283,0,1
09061209465,0,3
09061213237,0,2
09061221061,0,2
09061221066,0,4
09061701444,0,1
09061701461,0,2
09061701851,0,1
09061701939,0,1
09061702893,0,2
09061743386,0,2
09061743806,0,2
09061743810,0,1
09061743811,0,1
09061744553,0,2
09061749602,0,1
09061790121,0,3
09061790125,0,1
09061790126,0,1
09063440451,0,1
09063442151,0,1
09063458130,0,3
0906346330,0,1
09064011000,0,2
09064012103,0,1
09064012160,0,2
09064015307,0,1
09064017295,0,1
09064017305,0,1
09064018838,0,1
09064019014,0,2
09064019788,0,1
09065069120,0,1
09065069154,0,1
09065171142-stopsms-08,0,1
09065171142-stopsms-08718727870150ppm,0,1
09065174042,0,2
09065394514,0,1
09065394973,0,1
09065989180,0,1
09065989182,0,2
09066350750,0,2
09066358152,0,2
09066358361,0,1
09066361921,0,1
09066362206,0,1
09066362220,0,1
09066362231,0,3
09066364311,0,2
09066364349,0,1
09066364589,0,2
09066368327,0,1
09066368470,0,1
09066368753,0,1
09066380611,0,2
09066382422,0,2
09066612661,0,3
09066649731from,0,1
09066660100,0,1
09071512432,0,1
09071512433,0,2
09071517866,0,1
09077818151,0,1
09090204448,0,1
09090900040,0,1
09094100151,0,1
09094646631,0,1
09094646899,0,2
09095350301,0,1
09096102316,0,1
09099725823,0,1
09099726395,0,1
09099726429,0,1
09099726481,0,1
09099726553,0,1
09111030116,0,1
09111032124,0,1
09701213186,0,1
0A,0,1
1,55,36
"1,000",0,2
"1,2",0,2
1-Hanuman,1,0
1-month,0,1
1-u,2,0
1.20,1,0
1.50,0,3
1.50p,0,1
1.50p/wk,0,1
1.5p/min,0,2
1.U,1,0
1.childish,1,0
1/08/03,0,1
1/1,0,1
1/2,0,4
1/2price,0,1
1/3,0,1
10,10,8
"10,000",0,2
10.1mega,1,0
10/06/03,0,1
100,1,16
1000,0,6
1000s,1,3
100p/SMS,0,1
100txt/mth,0,1
1013,0,1
1030,2,0
10:10,1,0
10:30,1,0
10K,0,2
10am,0,1
10am-7pm,0,4
10am-9pm,0,2
10k,0,1
10p,0,14
10p/min,0,10
10ppm,0,2
10th,0,1
11,4,4
11.48,1,0
1120,1,0
113,0,2
1131,0,1
114/14,0,3
1146,0,1
116,1,0
1172,0,1
118p/msg,0,1
11mths,0,4
11mths+,0,5
12,4,4
"12,000pes",1,0
1205,1,0
121,0,3
1225,0,1
123,0,1
125gift,0,3
128,1,0
12:30,1,0
12Mths,0,1
12hours,0,1
12hrs,0,17
12mths,0,1
13/10/04,0,1
13/4/04,0,1
130,1,0
1327,0,7
139,0,1
140,1,0
1405,1,0
140ppm,0,1
145,0,4
146tf150p,0,1
14thMarch,0,1
150,0,9
150P,0,1
150PPM,0,2
150p,0,26
150p/MSGRCVD,0,1
150p/MTmsg,0,2
150p/Msg,0,5
150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL,0,4
150p/Mt,0,1
150p/Mtmsgrcvd18,0,2
150p/Mtmsgrcvd18+,0,1
150p/SMS,0,1
150p/day,0,2
150p/meg,0,1
150p/min,0,4
150p/msg,0,10
150p/msg.2,0,1
150p/rcvd,0,1
150p/text,0,1
150p/tone,0,5
150p/wk,0,1
150pm,0,6
150ppermessSubscription,0,2
150ppm,0,32
150ppmPOBox10183BhamB64XE,0,1
150ppmsg,0,1
151,0,1
153,0,2
15541,0,1
15:26,1,0
16,1,26
16+,0,25
16+only,0,2
1680,1,0
169,0,2
177,0,2
18,0,24
18+,0,19
18+6,0,2
18+only,0,3
18/11/04,0,1
180,1,0
1843,1,0
18p/txt,0,2
18yrs,0,3
195,0,1
1956669,0,3
1Apple/Day=No,1,0
1Cup,1,0
1DA,0,1
1ER,0,1
1IM,1,0
1Lemon/Day=No,1,0
1Tulsi,1,0
1Winaweek,0,2
1Winawk,0,1
1YF,0,1
1hr,2,0
1pm,1,0
1st,12,26
1st4Terms,0,1
1stchoice.co.uk,0,1
1stone,1,0
1thing.i,1,0
1x150p/wk,0,5
2,313,176
"2,000",0,2
2-4-1,0,1
2-Bajarangabali,1,0
2-u,2,0
2.15,1,0
2.30ish,1,0
2.50,0,1
2.IM,1,0
2.U,1,0
2.naughty,1,0
2/2,0,1
2/3,0,1
20,4,3
"20,000",0,2
20/F,0,1
200,0,3
2000,1,2
2003,0,13
2004,0,8
2005,0,3
2006,0,1
2007,0,2
2025050,0,1
20M12AQ,0,1
20p,0,7
20p/min,0,2
21,1,1
21/11/04,0,1
21/F,0,1
21/m,0,1
21870000,0,2
21st,1,2
22,0,1
220-CM2,0,3
2309,0,1
24,0,2
24/10/04,0,1
24/7MP,0,1
24Hrs,0,1
24M,0,1
24hrs,0,1
24th,1,0
25,2,3
25/F,0,2
250,0,4
255,1,0
25p,0,8
26.03.05,0,1
26/10/04,0,1
26/11/04,0,1
2667,0,1
26th,1,1
27/03,0,1
27/6/03,0,1
28,0,5
28/5,0,1
2814032,0,1
28days,0,2
28th,0,1
28thFeb.T,0,1
29/03/05,0,1
29/10/0,0,1
29/M,0,1
2B,1,0
2C,0,2
2DOCD.PLEASE,1,0
2EZ,0,1
2End,0,2
2GETHA,1,0
2GEVA,1,0
2Hook,1,0
2I,1,0
2KBSubject,0,1
2MORO,3,0
2MOROW,1,1
2MORRO,1,0
2MRW,3,0
2MWEN,1,0
2NITE,4,0
2NITE-TELL,1,0
2PX,0,1
2StopTx,0,1
2StopTxt,0,1
2U,1,0
2WATERSHD,1,0
2WT,0,2
2WU,0,1
2bold,1,0
2channel,0,1
2day,4,4
2day.love,1,0
2exit,0,1
2find,0,2
2geva,1,0
2go,2,0
2go.did,1,0
2gthr,2,0
2hrs,1,0
2marrow,2,0
2moro,0,1
2morow,1,0
2morro,0,1
2morrow,3,0
2morrowxxxx,1,0
2mro,1,0
2mrw,2,0
2nd,10,20
2nhite,1,0
2nights,0,1
2nite,1,4
2optout,0,4
2optout/D3WV,0,1
2p,0,2
2rcv,0,2
2stop,0,1
2stoptxt,0,2
2u,1,1
2u2,1,0
2waxsto,2,0
2wks,1,1
2years,1,0
2yr,0,2
2yrs,1,0
3,53,26
3-Maruti,1,0
3-u,2,0
3.Sentiment,1,0
3.U,1,0
30,0,2
300,0,5
3000,0,1
300603,0,2
300603t,0,1
300p,0,2
3030,0,8
30Apr,0,1
30pp/txt,0,2
30s,0,1
30th,0,1
31,0,1
31/10/04,0,2
3100,0,2
310303,0,1
31p.msg,0,2
32/F,0,1
32000,0,1
3230,1,0
32323,0,1
326,0,2
330,1,0
350,0,2
3510i,0,5
35p,0,1
3650,0,2
36504,0,7
3680,0,1
3680.Offer,0,1
373,0,2
3750,0,1
37819,0,1
391784,0,1
3AJ,0,2
3D,1,0
3G,0,5
3GBP,0,4
3Lions,0,1
3MOBILE,0,1
3POUND,0,1
3SS,0,2
3UZ,0,3
3XX,0,1
3d,3,0
3days,1,0
3g,2,0
3hrs,0,2
3lp,0,2
3miles,1,0
3mins,0,4
3optical,1,0
3qxj9,0,4
3rd,5,0
3wks,1,0
3x£150pw,0,1
4,178,122
4-6,1,0
4-7/12,0,1
4-Pavanaputra,1,0
4-some1,2,0
4.15,1,0
4.30,1,0
4.47per,1,0
4.49/month,0,1
4.50,0,3
4.Cook,3,0
4.rowdy,1,0
40,0,2
400,0,1
400mins,0,1
402,0,1
4041,0,1
40411,0,1
40533,0,2
40GB,0,6
40mph,1,0
41685,0,2
41782,0,1
420,1,0
42049,0,1
4217,0,1
42478,0,1
42810,0,1
430,1,0
434,0,3
44,0,1
4403LDNW1A7RW18,0,2
447801259231,0,2
448712404000,0,1
449050000301,0,1
45,0,1
450Ppw,0,2
450p,0,1
450pw,0,1
45239,0,3
47,0,1
4742,0,4
4882,0,2
48922,0,1
49557,0,1
4BREKKIE,1,0
4EVA,1,0
4GET,1,0
4JX,0,1
4MY,1,0
4T,0,4
4U,3,1
4WARD,1,0
4a,2,0
4d,2,0
4eva,1,0
4few,1,0
4fil,0,2
4get,3,0
4give,1,0
4got,1,0
4goten,0,1
4info,0,4
4msgs,0,1
4mths,0,3
4th,6,0
4thNOV.BEHIND,1,0
4the,1,0
4txt/120p,0,1
4txt/ú1.20,0,1
4u,1,3
4u.i,1,0
4uTxt,0,1
4w,1,0
4wrd,1,0
4years,1,0
5,35,9
5+-,2,0
5+3+2=,1,0
5-Sankatmochan,1,0
5.00,0,2
5.15pm,1,0
5.30,2,0
5.Gardener,3,0
5.Im,1,0
5.Terror,1,0
5.ful,1,0
5/9/03,0,1
50,4,4
500,0,23
5000,0,4
505060,0,1
50p,0,4
50p/msg,0,1
50s,1,0
515,1,0
5226,0,1
5249,0,2
526,0,1
528,0,1
530,5,0
54,0,1
542,0,4
545,1,0
5K,0,2
5WB,0,7
5WE,0,1
5WQ,0,1
5digital,1,0
5free,0,2
5ish,1,0
5min,3,0
5mls,1,0
5p,0,1
5pm,2,0
5th,4,0
5we,0,4
5wkg,1,0
5years,1,0
6,26,6
6-Ramaduth,1,0
6.30,2,0
6.45pm,1,0
6.Cruel,1,0
