,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RISK_MM,Date,Location,WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow
123825,-0.3836135856125072,-0.4620754996385363,-0.1641819733247829,-0.4289099212906574,-0.1840485706651351,-0.06219977724986549,0.3651326123306081,0.0507169462732401,-2.9855131421497973,-2.994022862484066,-0.24204260739555747,-0.2405884056297587,-0.18540091103981834,2017-05-26,SalmonGums,WSW,W,SW,No,No
95692,0.03473196381294162,0.9509538154665752,-0.1641819733247829,-0.5929793939700962,-0.4940783526998463,-0.3807175472103837,-1.284600737931209,-0.9635584876099159,0.32105267203382315,0.3108060811836033,0.10715638042541686,0.22395647273793204,-0.25486402530655317,2013-12-27,Adelaide,W,NW,WSW,No,No
22548,-0.04220514872507194,-0.6652561854706437,0.04137713072500588,0.9383356843713325,1.1446504951979128,0.8933535326316892,-0.07479628107254309,0.0507169462732401,0.3087057974742229,0.31650532324773173,-0.1806968392648457,-0.3074547138796536,0.18506903171610067,2014-07-14,NorfolkIsland,SSW,SSW,SW,Yes,Yes
16499,0.3857575397676285,0.5907698724005663,-0.1641819733247829,-0.5875104115474483,-0.4940783526998463,-0.46034698970051324,-0.22143924554026018,0.17004346790655256,-2.9809020243781528,-2.9893903234800687,0.3666961686707357,0.12189737067230305,-0.25486402530655317,2014-02-12,Newcastle,E,NE,SE,No,No
7160,-0.5615306583566636,-0.7021981283492086,-0.1641819733247829,-0.7023590424230554,-0.4054984149756431,-0.3807175472103837,0.5484363179152545,-0.33709424903502544,0.36376618402379096,0.3610935111612091,-0.572365974253236,-0.3356089489322409,-0.25486402530655317,2012-06-09,Cobar,S,SSW,S,No,No
47784,-0.2730164863391127,0.1105246149792214,-0.1641819733247829,-0.18280571227149922,-0.27262850838933833,-0.06219977724986549,-0.5513859155926236,-0.6055789227099785,0.31271018922328253,0.3108060811836033,-0.15238340781990187,-0.004796687064339932,-0.25486402530655317,2008-12-16,Tuggeranong,NW,NW,WNW,No,No
78166,-0.11433369172945966,-0.12036252801180981,-0.0699673839686297,-0.483599745517137,-0.1840485706651351,-0.6594205959258371,0.5484363179152545,0.0507169462732401,0.34341052596607174,0.3413137887033509,-0.26563713359967733,-0.16668353861671706,-0.25486402530655317,2015-11-11,Watsonia,SSW,SSW,NE,Yes,No
59608,-0.0373965791914461,0.11976010069886246,-0.1641819733247829,-0.2921853607244584,0.1702711802316777,-0.022385056004800712,-0.47806443335876503,-0.5459156618933222,0.33640284040521756,0.3359497961724062,-0.10991326065248604,-0.043508760261647544,-0.25486402530655317,2017-02-14,Bendigo,SE,S,SE,No,No
25166,-0.2922507644736161,0.05511170066137379,-0.1641819733247829,-0.483599745517137,-0.6712382281482527,-0.46034698970051324,0.3284718712136789,-0.6950738139349628,-2.996373537954065,-3.004933710927692,-0.20901027070978964,-0.043508760261647544,-0.25486402530655317,2013-08-28,Penrith,ESE,ESE,ESE,No,No
130712,-0.5326792411549085,-0.5636658425545898,-0.1641819733247829,-0.5382895697436166,-0.4940783526998463,-0.30108810472025416,0.47511483568139595,-0.18793609699338484,0.36009549158715337,0.35941726349528885,-0.562928163771588,-0.26522336130077256,-0.25486402530655317,2011-03-31,Launceston,NW,NNE,NNW,No,No
